cg00240178,EEF1A1,
cg01536980,EEF1A1,
cg01653354,EEF1A1,
cg02213340,EEF1A1,
cg04027446,EEF1A1,
cg04100647,EEF1A1,
cg04605607,EEF1A1,
cg07219710,EEF1A1,
cg07402724,EEF1A1,
cg07740989,EEF1A1,
cg08439970,EEF1A1,
cg09614810,EEF1A1,
cg16498533,EEF1A1,
cg23873872,EEF1A1,
cg23883514,EEF1A1,
cg26932600,EEF1A1,EEF1A1,
cg00169164,GAPDH,
cg00241355,GAPDH,
cg00252813,GAPDH,
cg02519286,GAPDH,
cg03400107,GAPDH,
cg06362313,GAPDH,
cg09193981,GAPDH,
cg09644986,GAPDH,
cg11508669,GAPDH,
cg15350627,GAPDH,
cg15869694,GAPDH,
cg18689930,GAPDH,
cg20917484,GAPDH,
cg21225563,GAPDH,
cg26249857,GAPDH,
cg26826729,GAPDH,
cg00739120,GAPDHS,TMEM147,
cg01443452,GAPDHS,
cg01639562,GAPDHS,
cg03124313,GAPDHS,TMEM147,
cg06505423,GAPDHS,
cg06710596,GAPDHS,
cg07868917,GAPDHS,
cg08480906,TMEM147,GAPDHS,
cg13869971,TMEM147,GAPDHS,
cg14866240,GAPDHS,
cg14946950,GAPDHS,
cg15426035,GAPDHS,
cg15729137,GAPDHS,
cg17810176,GAPDHS,TMEM147,
cg18435532,GAPDHS,
cg21453378,GAPDHS,
cg24175580,GAPDHS,
cg25498045,GAPDHS,GAPDHS,
cg25681177,GAPDHS,GAPDHS,
cg27036341,GAPDHS,
